barcode ,,row ,tiller count,gs39,   gs55,GS65,flag leaf senescence,plant wt,stem ht,top internodeL,tiller no,1? earLength,2nd ear L,3rd ear L,1?fg lf L,1?ear wt,other ear wt,disease_score1,disease_score2
W8-061111,MEL 046-7,A4,>,123,136,154,150,93,64.5,31.5,20,11,10.5,9,42,3.75,42.9,1,2
W8-061112,MEL 046-7,E7,>,116,126,136,150,96,63.5,30.5,20,10.5,10,10.5,39.5,4.13,47.3,2,3
W8-062111,MEL 048-1a,A1,16,125,130,136,152,64,42.5,22.5,18,11.5,10,11,37,3.40,36.9,2,2
W8-062112,MEL 048-1a,E4,>,120,124,133,150,66,56.5,35,19,11.5,11.5,10,34.5,3.85,35.8,2,3
W8-063111,MEL 049-2,C3,>,125,132,138,143,74,43,16.5,19,12,12,11.5,26,3.58,43.3,2,2
W8-063112,MEL 049-2,G6,>,132,140,150,185,66,53,21.5,18,11.5,11.5,10.5,19,3.55,33.2,2,2
W8-064111,MEL 050-1,C4,>,116,119,126,152,56,42,24,16,10,10,10,30.5,3.60,34.2,1,1
W8-064112,MEL 050-1,G7,>,120,126,133,160,59,45,24,17,10,10,10,30.5,3.23,34.0,1,2
W8-065111,MEL 051-1c,C2,>,125,137,143,171,66,67,35,11,12,13.5,12,25.5,3.76,28.3,2,2
W8-065112,MEL 051-1c,G5,<,118,122,138,150,72,60,32.5,12,10,12.5,13,33.5,3.24,31.6,1,1
W8-066111,MEL 052-1,G2,>,?,125,136,152,92,57.5,37,17,10,10,8,42.5,4.11,42.6,1,1
W8-066112,MEL 052-1,C6,>,116,122,131,152,102,70,38,19,10.5,10,10,40.5,5.15,56.3,2,2
W8-067111,MEL 053-1a,C1,21,123,132,143,154,56,39,28,17,9.5,10.5,10.5,40.5,2.71,27.6,1,1
W8-067112,MEL 053-1a,F4,<,127,138,145,166,64,47,28,13,11,10.5,11,34,4.35,25.3,0,0
W8-068111,MEL 054-1,A4,<,128,131,154,150,46,33.5,22.5,15,9.5,10,11,32,2.53,24.9,0,1
W8-068112,MEL 054-1,D7,>,123,129,133,150,58,33,22,19,10.5,10.5,11,32,2.96,32.5,1,2
W8-069111,MEL 055-1a,A1,14,130,139,147,160,86,63,34.5,15,11.5,11,10,35,4.40,37.4,3,3
W8-069112,MEL 055-1a,E4,<,127,138,147,171,86,69.5,34,12,13,11,11,40,5.99,38.9,3,3
W8-070111,MEL 056-1,E3,<,127,137,150,175,106,54,25.5,15,13,12.5,12.5,30,5.61,48.2,1,1
W8-070112,MEL 056-1,A7,>,132,131,140,166,98,56,26.5,18,13.5,13,12.5,34,5.02,51.9,2,1
W8-071111,MEL 057-1a,G2,>,137,146,158,182,58,44.5,27.5,15,12,12,12,30.5,3.64,24.0,3,2
W8-071112,MEL 057-1a,D6,>,130,138,145.0,175,60,41,24,20,11.5,11.5,12,30,4.03,29.2,2,2
W8-072111,MEL 058-1,E1,14,130,141,150,185,106,82.5,39,15,13,12.5,13.5,22,5.13,46.9,0,0
W8-072112,MEL 058-1,A5,>,127,136,143,171,110,70,37,15,13,12,13,35,5.28,30.2,0,0
W8-073111,MEL 059-1a,A2,>,125,132,138,160,46,36.5,24.5,18,10.5,10.5,10,38,2.47,21.6,2,2
W8-073112,MEL 059-1a,D5,>,125,133,138,175,70,46,23.5,26,11,11,11,26.5,2.88,35.7,2,2
W8-074111,MEL 060-1a,G3,>,132,143,154,182,120,80.5,29.5,22,11,10.5,10.5,29.5,4.34,49.4,1,0
W8-074112,MEL 060-1a,C7,>,127,136,143,171,111,78,29.5,20,11,10.5,10.5,25,4.71,53.5,1,0
W8-075111,MEL 061-1,A2,<,104,113,129,150,56,44,25,23,10,10.5,10.5,34,2.69,30.7,1,1
W8-075112,MEL 061-1,D5,<,104,110,129,147,67,46.5,25.5,18,10,10.5,12,?,3.00,38.2,2,2
W8-076111,MEL 062-1a,G1,15,130,137,145,175,86,51,26.5,21,13.5,13.5,13,34,4.05,42.3,1,2
W8-076112,MEL 062-1a,C5,<,127,136,143,175,74,49.5,25.5,16,13,12.5,11,33.5,4.76,37.2,1,1
W8-077111,MEL 063a-1,E3,>,125,132,140,160,62,35,21.5,17,12,12,10.5,34,3.27,31.7,1,2
W8-077112,MEL 063a-1,A7,>,125,129,138,178,60,30,20,21,11.5,9.5,11,28.5,2.67,32.1,1,1
W8-078111,MEL 064-1a,B3,>,120,130,136,154,86,52,32,19,10.5,10,10.5,41,3.42,41.8,2,3
W8-078112,MEL 064-1a,E6,>,125,133,143,150,96,58,36,20,11,10,10,33.5,3.97,46.2,3,4
W8-079111,MEL 065-1b,B1,33,125,132,138,158,80,46.5,29.5,22,11.5,11,11,42.5,3.64,38.7,2,2
W8-079112,MEL 065-1b,F4,>,127,138,147,175,90,58,25.5,23,12,11.5,10.5,28,4.31,38.5,3,3
W8-080111,MEL 066-1a,D3,>,132,146,154,182,68,44.5,26.5,24,10,10,9.5,25,2.60,27.8,0,0
