idtag	 timestamp	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128
W8-208111	 2015-01-17	1814	99	0	0	31	35	0	0	0	1	0	0	0	0	0	0	363	3	0	0	6	1010	0	0	0	98	1603	44	0	0	3	230	33	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	93	0	0	0	184	923	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	30	0	0	0	1202887	1302	3453	579	492	251	5	0	0
W8-059111	 2015-01-17	1089	125	0	0	58	82	0	0	0	2	0	0	0	0	0	0	217	1	0	0	11	682	0	0	1	159	1487	15	0	0	1	174	25	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	62	0	0	0	195	801	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	29	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	115	1	0	0	12	0	0	0	1206251	932	2236	341	396	211	17	0	0
W8-012111	 2015-01-17	2116	85	0	0	2	3	0	0	0	0	0	0	0	0	0	0	569	4	0	0	16	927	0	0	0	30	855	11	0	0	0	19	4	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	59	0	0	0	76	474	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	22	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	544	1	0	0	60	0	0	0	1202497	3476	2956	460	333	113	8	0	0
W8-075111	 2015-01-17	4321	198	0	0	33	21	0	0	0	0	0	0	0	0	0	0	1154	11	0	0	15	1443	0	0	0	105	1484	18	0	0	0	44	14	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	122	0	0	0	134	881	6	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	51	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	692	2	0	0	18	0	0	0	1195436	3659	4482	569	534	225	23	0	0
W8-033111	 2015-01-17	698	22	0	0	0	1	0	0	0	0	0	0	0	0	0	0	211	0	0	0	7	213	0	0	0	11	235	3	0	0	0	8	5	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	12	0	0	0	19	168	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	13	0	0	0	1211973	853	838	129	86	43	4	0	0
W8-151111	 2015-01-17	1561	83	0	0	15	19	0	0	0	0	0	0	0	0	0	0	400	1	0	0	2	736	0	0	0	68	753	8	0	0	0	36	14	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	58	0	0	0	78	445	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	32	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	223	0	0	0	26	0	0	0	1206014	1958	2540	282	232	132	12	0	0
W8-111111	 2015-01-17	1586	70	0	0	2	5	0	0	0	0	0	0	0	0	0	0	441	2	0	0	1	590	0	0	0	16	526	7	0	0	0	22	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	20	0	0	0	45	346	1	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	15	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	2	0	0	0	1208108	1109	2146	245	152	74	9	0	0
W8-217111	 2015-01-17	1794	75	0	0	4	1	0	0	0	0	0	0	0	0	0	0	494	3	0	0	2	758	0	0	0	29	887	12	0	0	6	64	10	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	68	0	0	0	134	541	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	4	0	0	0	1205204	1860	2663	385	329	128	7	0	0
W8-162111	 2015-01-17	1076	32	0	0	4	6	0	0	0	0	0	0	0	0	0	0	332	0	0	0	2	314	0	0	0	8	424	4	0	0	0	17	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	28	0	0	0	50	280	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	256	0	0	0	36	0	0	0	1209289	2003	1232	109	150	65	8	0	0
W8-004111	 2015-01-17	1729	36	0	0	4	0	0	0	0	0	0	0	0	0	0	0	369	1	0	0	1	518	0	0	0	10	495	5	0	0	0	8	3	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	37	0	0	0	29	204	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	618	0	0	0	24	0	0	0	1205557	3730	1864	245	205	46	1	0	0
