,,SSD,SSD,pots,Field  2010-11,Field 2011-12,,,Field 2012-13,,Field 2013-14,,
Gen 0=8-way F1,8-way F1 plant,F1 to F2,F2 to F3,F3 to F4,F4 to F5 nursery,F5 to F6 nursery,YT Reps,728 SNP 90k,F6 to F7 nursery,YT reps,F7 to F8 nursery,YT reps,
MEL 005-6,8MEL-1005-06,MEL 005-6,MEL 005-6,MEL 005-6,,,,,,,,,
MEL 005-7,8MEL-1005-07,MEL 005-7,MEL 005-7,MEL 005-7,MEL 005-7,MEL 005-7,2,1-B-3,MEL 005-7,2,MEL 005-7,2,
MEL 005-8,8MEL-1005-08,MEL 005-8,MEL 005-8,MEL 005-8,MEL 005-8,MEL 005-8A,3,1-B-4,MEL 005-8,2,MEL 005-8,2,
,,,,,,MEL 005-8B,,,stop double family,,,,
MEL 006-1,8MEL-1006-01,MEL 006-1,MEL 006-1,MEL 006-1,MEL 006-1,MEL 006-1,2,7-A-3,MEL 006-1,2,MEL 006-1,2,
MEL 006-2,8MEL-1006-02,MEL 006-2,MEL 006-2,MEL 006-2,MEL 006-2,MEL 006-2,2,,MEL 006-2,0,MEL 006-2,0,
MEL 006-3,8MEL-1006-03,MEL 006-3,MEL 006-3,MEL 006-3,MEL 006-3,MEL 006-3,2,1-B-5,MEL 006-3,2,MEL 006-3,2,
MEL 006-4,8MEL-1006-04,MEL 006-4,,,,,,,,,,,
MEL 006-5,8MEL-1006-05,MEL 006-5,MEL 006-5,,,,,,,,,,
MEL 006-6,8MEL-1006-06,MEL 006-6,MEL 006-6,MEL 006-6,MEL 006-6,MEL 006-6,2,1-B-6,MEL 006-6,2,MEL 006-6,2,
MEL 006-7,8MEL-1006-07,MEL 006-7,MEL 006-7,MEL 006-7,MEL 006-7,MEL 006-7,1,1-B-7,MEL 006-7,2,MEL 006-7,2,
MEL 006-8,8MEL-1006-08,MEL 006-8,MEL 006-8,MEL 006-8,MEL 006-8,MEL 006-8,2,1-B-8,MEL 006-8,2,MEL 006-8,2,
MEL 007-1,8MEL-1007-01,MEL 007-1,MEL 007-1a,MEL 007-1a,MEL 007-1a,MEL 007-1a,2,,MEL 007-1a,0,MEL 007-1a,0,
,8MEL-1007-01,,MEL 007-1b,MEL 007-1b,MEL 007-1b,MEL 007-1b,2,1-B-9,MEL 007-1b,2,MEL 007-1b,2,
,8MEL-1007-01,,MEL 007-1c,MEL 007-1c,MEL 007-1c,MEL 007-1c,0,,stop - others from F1,,,,
MEL 007-2,8MEL-1007-02,MEL 007-2,MEL 007-2a,MEL 007-2a,MEL 007-2a,MEL 007-2a,2,,MEL 007-2a,0,MEL 007-2a,0,
,8MEL-1007-02,,MEL 007-2b,MEL 007-2b,MEL 007-2b,MEL 007-2b,2,1-B-10,MEL 007-2b,2,MEL 007-2b,2,
,8MEL-1007-02,,MEL 007-2c,MEL 007-2c,MEL 007-2c,MEL 007-2c,2,,MEL 007-2c,0,MEL 007-2c,0,
MEL 008-1,8MEL-1008-01,MEL 008-1,MEL 008-1,MEL 008-1,MEL 008-1,MEL 008-1,2,7-A-4,MEL 008-1,2,MEL 008-1,2,
MEL 008-2,8MEL-1008-02,MEL 008-2,MEL 008-2,MEL 008-2,MEL 008-2,MEL 008-2,2,1-B-11,MEL 008-2,2,MEL 008-2,2,
MEL 008-3,8MEL-1008-03,MEL 008-3,MEL 008-3,MEL 008-3,MEL 008-3,MEL 008-3,2,1-B-12,MEL 008-3,2,MEL 008-3,2,
MEL 008-4,8MEL-1008-04,MEL 008-4,MEL 008-4,MEL 008-4,MEL 008-4,MEL 008-4,2,1-C-1,MEL 008-4,2,MEL 008-4,2,
MEL 008-5,8MEL-1008-05,MEL 008-5,MEL 008-5,MEL 008-5,MEL 008-5,MEL 008-5,2,,MEL 008-5,0,MEL 008-5,0,
MEL 008-6,8MEL-1008-06,MEL 008-6,,,,,,,,,,,
MEL 008-7,8MEL-1008-07,MEL 008-7,MEL 008-7,MEL 008-7,MEL 008-7,MEL 008-7,2,,MEL 008-7,0,MEL 008-7,0,
MEL 008-8,8MEL-1008-08,MEL 008-8,,,,,,,,,,,
MEL 009a-1,8MEL-1008-09,MEL 009a-1,MEL 009a-1,MEL 009a-1,MEL 009a-1,MEL 009a-1,2,,MEL 009a-1,0,MEL 009a-1,0,
MEL 009a-2,8MEL-1008-10,MEL 009a-2,MEL 009a-2,MEL 009a-2,MEL 009a-2,MEL 009a-2A,3,,MEL 009a-2-A,0,MEL 009a-2-A,0,
,,,,,,MEL 009a-2B,,1-C-2,MEL 009a-2-B,2,MEL 009a-2-B,2,
MEL 009a-3,8MEL-1008-11,MEL 009a-3,MEL 009a-3,MEL 009a-3,MEL 009a-3,MEL 009a-3,2,,MEL 009a-3,0,MEL 009a-3,0,
MEL 009a-4,8MEL-1008-12,MEL 009a-4,MEL 009a-4,MEL 009a-4,MEL 009a-4,MEL 009a-4,2,,MEL 009a-4,0,MEL 009a-4,0,
MEL 009b-1,8MEL-1010-01,MEL 009b-1,MEL 009b-1,MEL 009b-1,MEL 009b-1,MEL 009b-1,0,,MEL 009b-1,0,MEL 009b-1,0,
MEL 009b-2,8MEL-1010-02,MEL 009b-2,MEL 009b-2,MEL 009b-2,MEL 009b-2,MEL 009b-2,2,7-A-5,MEL 009b-2,2,MEL 009b-2,2,
MEL 009b-3,8MEL-1010-03,MEL 009b-3,MEL 009b-3,,,,,,,,,,
MEL 010-1,8MEL-1010-04,MEL 010-1,MEL 010-1a,MEL 010-1a,MEL 010-1a,MEL 010-1aA,1,1-C-3,MEL 010-1a,2,MEL 010-1a,2,
,,,,,,MEL 010-1aB,,,stop double family,,,,
,8MEL-1010-04,,MEL 010-1b,MEL 010-1b,MEL 010-1b,MEL 010-1b,2,1-C-4,MEL 010-1b,2,MEL 010-1b,2,
MEL 010-2,8MEL-1010-05,MEL 010-2,MEL 010-2,MEL 010-2,didn't grow,,,,,,,,
MEL 010-3,8MEL-1010-06,MEL 010-3,MEL 010-3,MEL 010-3,MEL 010-3,MEL 010-3,2,1-C-5,MEL 010-3,2,MEL 010-3,2,
MEL 010-4,8MEL-1010-07,MEL 010-4,MEL 010-4,MEL 010-4,,,,,,,,,
MEL 010-5,8MEL-1010-08,MEL 010-5,MEL 010-5,MEL 010-5,MEL 010-5,MEL 010-5,2,1-C-6,MEL 010-5,2,MEL 010-5,2,
MEL 011-1,8MEL-1011-01,MEL 011-1,MEL 011-1a,MEL 011-1a,MEL 011-1a,MEL 011-1a,2,,MEL 011-1a,0,MEL 011-1a,0,
,8MEL-1011-01,,MEL 011-1b,MEL 011-1b,MEL 011-1b,MEL 011-1b,2,1-C-7,MEL 011-1b,2,MEL 011-1b,2,
MEL 011-2,8MEL-1011-02,MEL 011-2,MEL 011-2a,MEL 011-2a,MEL 011-2a,MEL 011-2a,3,1-C-8,MEL 011-2a,2,MEL 011-2a,2,
,8MEL-1011-02,,MEL 011-2b,MEL 011-2b,MEL 011-2b,MEL 011-2b,2,,MEL 011-2b,0,MEL 011-2b,0,
MEL 011-3,8MEL-1011-03,MEL 011-3,MEL 011-3,MEL 011-3,MEL 011-3,MEL 011-3,2,1-C-9,MEL 011-3,2,MEL 011-3,2,
MEL 011-4,8MEL-1011-04,MEL 011-4,MEL 011-4,MEL 011-4,MEL 011-4,MEL 011-4,2,1-C-10,MEL 011-4,2,MEL 011-4,2,
MEL 012-1,8MEL-1012-01,MEL 012-1,MEL 012-1a,MEL 012-1a,MEL 012-1a,MEL 012-1a,0,,stop - others from F1,,,,
,8MEL-1012-01,,MEL 012-1b,MEL 012-1b,MEL 012-1b,MEL 012-1b,2,1-C-11,MEL 012-1b,2,MEL 012-1b,2,
MEL 012-2,8MEL-1012-02,MEL 012-2,MEL 012-2a,MEL 012-2a,MEL 012-2a,MEL 012-2a,2,,MEL 012-2a,0,MEL 012-2a,0,
,8MEL-1012-02,,MEL 012-2b,MEL 012-2b,MEL 012-2b,MEL 012-2b,2,1-C-12,MEL 012-2b,2,MEL 012-2b,2,
MEL 012-3,8MEL-1012-03,MEL 012-3,MEL 012-3,MEL 012-3,MEL 012-3,MEL 012-3,2,1-D-1,MEL 012-3,2,MEL 012-3,2,
MEL 012-4,8MEL-1012-04,MEL 012-4,MEL 012-4,MEL 012-4,MEL 012-4,MEL 012-4,2,1-D-2,MEL 012-4,2,MEL 012-4,2,
MEL 013-1,8MEL-1013-01,MEL 013-1,MEL 013-1a,MEL 013-1a,MEL 013-1a,MEL 013-1a,2,1-D-3,MEL 013-1a,2,MEL 013-1a,2,
,8MEL-1013-01,,MEL 013-1b,MEL 013-1b,MEL 013-1b,MEL 013-1b,2,,MEL 013-1b,0,MEL 013-1b,0,
,8MEL-1013-01,,MEL 013-1c,MEL 013-1c,MEL 013-1c,MEL 013-1c,2,,stop dwarf,,,,
MEL 013-2,8MEL-1013-02,MEL 013-2,MEL 013-2a,MEL 013-2a,MEL 013-2a,MEL 013-2a,2,,MEL 013-2a,2,MEL 013-2a,2,
,8MEL-1013-02,,MEL 013-2b,,,,,,,,,,
,8MEL-1013-02,,MEL 013-2c,MEL 013-2c,MEL 013-2c,MEL 013-2c,2,1-D-4,MEL 013-2c,2,MEL 013-2c,2,
MEL 014-1,8MEL-1014-01,MEL 014-1,MEL 014-1,MEL 014-1,MEL 014-1,stop all grazed,,,,,,,
MEL 014-2,8MEL-1014-02,MEL 014-2,MEL 014-2,MEL 014-2,MEL 014-2,MEL 014-2,2,1-D-6,MEL 014-2,2,MEL 014-2,2,
MEL 014-3,8MEL-1014-03,MEL 014-3,MEL 014-3,,,,,,,,,,
MEL 014-4,8MEL-1014-04,MEL 014-4,MEL 014-4,MEL 014-4,MEL 014-4,MEL 014-4,2,1-D-7,MEL 014-4,2,MEL 014-4,2,
MEL 014-5,8MEL-1014-05,MEL 014-5,MEL 014-5,MEL 014-5,MEL 014-5,MEL 014-5,0,,MEL 014-5,0,MEL 014-5,0,
