Block,Column,Row,Pos,Name,ID,Status,array01,array02,array03,array04,array05,array06,array07,array08,array09,array10,array11,array12,array13,array14,array15,array16,array01.1,array02.1,array03.1,array04.1,array05.1,array06.1,array07.1,array08.1,array09.1,array10.1,array11.1,array12.1,array13.1,array14.1,array15.1,array16.1,t_..5,t_.0,t_.10,t_.20,t_.25,t_.30,t_.35.37,t_ 40-45
7070,25,14,13,7070,G01_o232_plate_16,WheatUG-1_GS0067_B4,Gene,0.117714248979191,-0.0132660536721163,0.00845221003371399,-0.158152192725548,0.212884810629728,0.0336339216909258,1.11115014138398,-2.64274389357811,0.382934448176658,0.382135248546435,0.0734671664453929,0.214714652033175,1.81282405193949,-1.2250041461883,-1.03143775356954,-1.31503421717135,7.86603570967318,8.03904532364079,8.7009229712975,8.68372483114936,9.13788011536977,8.97432351101548,9.04198126410849,9.99098608639168,7.81189133328064,8.2049940958756,8.67156212938828,9.5701828635076,10.4948800434499,8.47543508941605,8.5511822175975,9.64814033507493,-0.841774835652641,-0.136213577429006,-0.311595223591089,0.1119872793795,0.562422979597526,-0.226254561855564,0.0820152403846357,-0.258450979356497
9238,48,12,10,9238,A04_a22_plate_12,WheatUG-1_GS0006_H7,Gene,-0.0215982857118541,1.21021487007452,NA,0.457007301205559,0.512711069751753,0.244031388410104,0.309520488228928,-3.20874226514482,1.01416563507642,1.92439622304876,0.503543035016186,1.19468213203857,0.285034337893121,-1.77666777309284,-1.74585075864247,-1.25073852301479,8.73571690880467,8.95786790826793,NA,10.4202393455175,11.343035526767,10.7143649522639,11.2274963945411,10.9439259507353,8.5687393665498,9.59621768468579,8.06800022806895,10.5171558319307,11.317259764372,9.43165057368718,10.0412383423307,10.8182473075972,-0.998210672218276,0.34179051219224,NA,NA,0.794787232974799,-0.1290955699787,0.000595812508782129,-0.966231490509391
8966,41,6,9,8966,B12_n129_plate_05,WheatUG-1_GS0052_B10,Gene,-0.803197401612376,0.894287149646884,0.882149743500677,-0.241311930832162,2.01946555617122,1.08120946536047,2.79239674854504,-4.36881079120752,0.635091181535957,0.952203634844681,1.42567372685093,0.972956186344172,3.63125425720176,-1.27787875918961,-2.54966328687503,-3.49592078109341,7.50316340225939,7.57998203113279,8.57555469403741,8.77389878026016,10.6319925727542,9.5872861381634,10.8848149631752,10.6497438249349,7.89340048735559,8.09797574651325,8.12146718725917,9.97085265711261,10.9970242319348,8.2871990106725,8.78927055346621,10.4465057555813,-1.45369894261839,-0.376592475998959,-0.0734525402737305,0.562221295137161,1.59040287934638,0.812117497298253,0.574224778343663,-0.360270141638532
7747,38,5,2,7747,B03_p537_plate_03,WheatUG-1_GS0086_B6,Gene,-0.453517650981866,0.361342249145723,0.797724127770382,-0.345857648707026,0.784378723108975,0.0250177804080673,0.986265091822096,-2.88219078111662,0.792592201609976,0.941020834283013,0.87644350368131,0.0865262274696093,0.911537646452469,-1.67864364318388,-2.02251335008362,-1.7920156049524,9.71271911847366,9.58139487363746,10.2316050125164,10.8385685203887,11.7383131926382,11.204588862428,11.5676716566461,11.9402866655533,9.66337704981733,10.2103139130277,10.5015247195489,11.165337093589,11.7639724531599,10.5048014827428,10.8387261995937,11.3079130948799,-1.0554399684181,-0.293416979409187,0.060873568911253,0.332746227035736,0.572769888784358,0.00179909100361759,-0.231176062595961,-0.694100911948615
3604,18,6,7,3604,F08_l226_plate_08,WheatUG-1_GS0050_E8,Gene,0.00707758908080969,0.415682078670414,-0.0716779451618922,-0.0027417260463435,0.44852881546597,0.0663766108243017,0.928642030199547,-1.52505688559005,0.0503191177567394,0.162818699388754,-0.1999239939202,-0.400602183600142,0.908991901665802,-0.190502046125179,-0.302587228091033,-0.483904762393908,7.15514408578022,7.37329879740019,7.72595835450981,7.72499970761967,8.69854831399783,7.90907442439335,8.2499519054461,8.76978843310049,7.36250408099244,7.98987010547006,8.90633547546538,8.69232932453811,9.65332598864297,8.33690989395246,8.40409075073162,9.39252196723393,-0.414540556219421,0.0707477847622363,-0.0849561557013963,-0.106175684262909,0.379399422618545,0.0311198465612233,0.0729573073331685,-0.0428319290296532
2525,13,5,1,2525,E09_p638_plate_02,WheatUG-1_GS0088_G4,Gene,0.127040798983181,-0.0734147443274522,0.0125855616584914,-0.00460650365192826,0.196971515614017,-0.161033469959723,1.69241359953651,-1.8515048394809,0.0384395168482402,0.212674452259586,-0.0221328650948409,-0.387529165801159,1.01781300755197,-0.102028895861384,-0.45442985482736,-0.891615042323603,6.15264159879305,5.78683049952747,6.8363585430255,7.48883622872197,8.06959332003573,7.31569624164566,7.96997062797826,9.26433944973625,7.60411153961879,7.91351936893783,8.32216666773732,8.29646416786357,9.50133424569715,7.79243781586636,7.76803142998416,8.5675905693062,-0.447013354877716,-0.0470323369780112,-0.243644272521851,-0.085277647736589,0.355713117943412,-0.0220559288254827,0.172355277237067,-0.00822331867900594
4796,19,8,14,4796,TA-PaO_clone_39,WheatUG-1_EXTRA_D15,Gene,-0.287482494792747,0.647047968917721,0.921120448339625,-0.3503279130686,0.498293786810558,0.198136072598904,1.15558466086328,-2.12520820595809,0.693652273359446,1.34558630924036,0.907850157604514,0.10105159899597,0.808829252675461,-1.24273503874681,-1.39171278894101,-1.13852304489292,6.61746455385183,6.76807920620184,7.55020742869708,7.95753624310278,9.03311921523177,8.22611287603387,8.5261235699162,8.75447482915295,7.21212823509474,7.11377588697196,7.17983579161903,7.97912907439614,9.0117715035812,7.57088523326649,8.25499260245944,8.83446955914352,-0.74044336653455,0.0783597486060829,0.334373882492234,0.34137410190661,0.575595358914446,0.0903862445667925,0.0157648858792878,-0.324829334328068
4835,22,5,14,4835,A01_e512_plate_02,WheatUG-1_GS0026_A4,Gene,0.470793546940833,-0.107327552244086,0.392263116954481,-0.444174202715526,1.26796544805833,0.209766933738545,2.09774465156679,-3.49733108394546,-0.038605877095809,0.193309088667826,-0.108351933671705,0.551129086396751,2.85033941232384,-1.41245338057131,-1.32826483218375,-2.2084913326221,5.94578121024504,6.60453281815192,7.01152376588084,7.02200102811775,8.5091960609193,7.63282317467653,8.95154067886125,8.96350252311899,6.67261967332787,6.73189691839743,6.78541870509277,7.92309661178594,9.0157256077722,6.15602050114577,6.69994018492701,8.51012650252786,-1.11939919866794,-0.192872437204794,-0.507976925395851,0.115153030884974,0.966859936583616,-0.0107682331115354,0.382593959879584,-0.189434588169233
6076,26,14,7,6076,E07_n130_plate_63,WheatUG-1_GS0061_F12,Gene,-0.202097923558568,0.06346116315636,-0.149357243555791,-0.521820365320292,0.68710460077097,-0.161621879976373,0.938731058403592,-2.01219953438962,0.241948627899416,0.117170936568511,0.182732774661136,-0.225403740143005,1.47836767942078,-0.569326089000848,-0.279058641369105,-1.05462155412917,7.26160251873787,7.71831859625213,8.49547559521613,7.91897138756863,9.37875021191441,8.37073773921571,8.68540812082952,9.44325533696288,7.72131870710341,8.00522691185576,8.18610464583884,8.90653469314121,9.62215081881796,8.17138818935158,8.02847596816003,10.0811535876034,-0.635418729762405,-0.0751311163007006,-0.239446214966866,-0.163658180279918,0.440205712859993,0.0347223516137211,0.0681616992287774,-0.162430587673603
9579,37,3,13,9579,B04_p840_plate_10,WheatUG-1_GS0096_D2,Gene,-0.0645440701207898,0.423530536168944,0.177958953521573,-0.585743086257511,0.870295060356539,-0.201039440186591,1.21913328135691,-1.88242994286436,0.487671615648587,0.309275068395608,0.410972626272383,0.434100074145786,1.17954054802877,-0.342735951472825,-0.615263383973397,-1.43835393786248,8.05414393041685,8.57433904142573,9.07261136293291,9.12046123196063,9.68242435016131,8.69941290084593,9.42173074192348,10.3333091818456,8.36905665591557,9.08733220354184,7.59145327366297,9.44899437961802,10.6959788739146,8.88996059928291,8.83293834452242,9.39006536353947,-0.450509587202347,0.0132495376175914,-0.106472955474896,0.128496889264609,0.44334189763085,0.184373073742376,0.209232632835676,-0.230527512835293
